# phrase	weight
# Auto-generated from sepidmnorozy/Chinese_sentiment train split (char n-gram log-odds).
鍵盤	0.9800
散熱	0.9800
性能	0.9800
內存	0.9800
驅動	0.9800
vist	0.9800
硬盤	0.9800
vista	0.9800
xp	0.9800
做工	0.9800
配置	0.9800
電池	0.9771
京東	0.9764
手感	0.9708
顯卡	0.9708
運行	0.9682
屏幕	0.9654
vis	0.9561
ist	0.9547
ista	0.9543
美屏	0.9437
完美屏	0.9410
比高	0.9293
完美	0.9256
性價比高	0.9234
價比高	0.9234
外觀	0.9201
本本	0.9158
最差	-0.9137
很差	-0.9073
這款	0.9035
也不錯	0.8997
漂亮	0.8976
也很好	0.8972
遊戲	0.8945
攝像頭	0.8829
像頭	0.8829
sta	0.8779
很漂	0.8772
很漂亮	0.8772
cp	0.8750
最差的	-0.8747
vi	0.8699
小巧	0.8696
也還	0.8683
非常好	0.8680
機器	0.8645
cpu	0.8640
很舒	0.8638
很不錯	0.8581
筆記本	0.8567
常好	0.8545
st	0.8540
差的	-0.8532
led	0.8521
攝像	0.8499
太差	-0.8456
不值	-0.8455
還是不錯	0.8342
is	0.8325
ta	0.8313
筆記	0.8304
很快	0.8302
不會再	-0.8289
不錯的	0.8278
安裝	0.8248
pu	0.8241
記本	0.8219
招待所	-0.8211
待所	-0.8087
不錯	0.8046
超值	0.8044
觀漂亮	0.8037
裝x	0.8037
裝xp	0.8037
外觀漂	0.8037
觀漂	0.8037
外觀漂亮	0.8037
很舒服	0.7993
錯的	0.7988
招待	-0.7984
是不錯的	0.7932
根本	-0.7920
功能	0.7920
感動	0.7916
成長	0.7867
發熱	0.7829
世界	0.7784
還會	0.7735
失望	-0.7720
裝系統	0.7707
pad	0.7707
裝系	0.7707
愛的	0.7690
是不錯	0.7690
系統	0.7685
還是不錯的	0.7683
觸摸	0.7618
夠用	0.7550
kp	0.7527
接口	0.7527
kpad	0.7527
kpa	0.7527
很乾	0.7526
你們	-0.7518
的愛	0.7508
投訴	-0.7456
豐富	0.7433
nkpad	0.7432
inkp	0.7432
inkpa	0.7432
inkpad	0.7432
nkpa	0.7432
nkp	0.7432
華碩	0.7432
周到	0.7395
很乾淨	0.7332
很方	0.7312
速度	0.7307
讀完	0.7302
很方便	0.7298
的生活	0.7283
很不錯的	0.7265
最好的	0.7238
比不錯	0.7236
價比不錯	0.7236
性價比不錯	0.7236
hinkp	0.7236
thinkp	0.7236
hinkpa	0.7236
齊全	0.7196
結局	0.7168
很一	-0.7137
孩子的	0.7134
很一般	-0.7133
le	0.7119
用起	0.7061
用起來	0.7061
實惠	0.7056
感覺不錯	0.7044
覺不錯	0.7044
ink	0.6982
速度很快	0.6982
外觀很	0.6921
續航	0.6921
觀很	0.6921
好書	0.6911
很好	0.6891
一股	-0.6884
性價比	0.6842
價位	0.6842
打電話	-0.6829
性價	0.6815
快樂	0.6811
ed	0.6811
鼠標	0.6811
軟件	0.6797
打電	-0.6790
太差了	-0.6759
nk	0.6703
退房	-0.6701
hp	0.6698
很滿意	0.6698
速度也	0.6687
think	0.6687
thin	0.6687
hink	0.6687
價比	0.6651
流暢	0.6633
速度很	0.6633
較高	0.6626
再也	-0.6620
電影	0.6611
簡直	-0.6602
東的	0.6582
知識	0.6580
告知	-0.6572
老師	0.6547
很滿	0.6529
這個酒店	-0.6515
這個酒	-0.6515
設計	0.6508
再也不	-0.6492
系列	0.6476
重量	0.6464
的配置	0.6464
的生	0.6448
比較高	0.6448
挺好	0.6425
度很快	0.6414
生活	0.6383
價比很高	0.6374
比很高	0.6374
性價比很高	0.6374
極差	-0.6356
哈哈	0.6351
攜程	-0.6351
g內存	0.6343
g內	0.6343
的內存	0.6343
結帳	-0.6332
很高	0.6316
hin	0.6315
品牌	0.6312
會再	-0.6303
都不錯	0.6297
ad	0.6287
經理	-0.6276
愛情	0.6274
也比	0.6263
很失望	-0.6258
很失	-0.6258
惡劣	-0.6258
也很	0.6244
歷史	0.6231
盤手感	0.6220
了x	0.6220
鍵盤手感	0.6220
鍵盤手	0.6220
盤手	0.6220
p系	0.6220
細節	0.6216
足夠	0.6216
換房	-0.6216
電話	-0.6202
許多	0.6184
不喜歡	-0.6182
不喜	-0.6168
機子	0.6156
根本不	-0.6149
pa	0.6132
很值	0.6111
差的酒店	-0.6104
差的酒	-0.6104
個酒店	-0.6098
g的	0.6094
xp系統	0.6094
xp系	0.6094
p系統	0.6094
整體	0.6084
瞭解	0.6077
每一	0.6069
媽媽	0.6069
不足	0.6056
個酒	-0.6049
千萬	-0.6044
不如	-0.6019
了xp	0.5965
真正	0.5944
居然	-0.5932
的本	0.5923
這是一	0.5921
也比較	0.5921
竟然	-0.5907
上當	-0.5903
個房	-0.5889
床單	-0.5862
美的	0.5858
京東的	0.5834
外殼	0.5834
很有	0.5811
不值得	-0.5809
深刻	0.5792
很熱	0.5792
升級	0.5785
還不錯	0.5771
有所	0.5770
毛巾	-0.5769
個房間	-0.5769
每個	0.5768
thi	0.5766
都沒有	-0.5758
空調	-0.5742
地毯	-0.5729
來說還	0.5709
烤漆	0.5701
開機	0.5701
藍牙	0.5701
置不錯	0.5699
新的	0.5696
上網本	0.5696
學習	0.5695
聯想	0.5683
的文	0.5683
裝的	0.5680
感覺還	0.5674
如家	-0.5671
根本就	-0.5671
半夜	-0.5671
生命	0.5665
還是很	0.5648
差房	-0.5640
常差	-0.5640
非常差	-0.5640
都會	0.5628
房間的	-0.5599
讀這	0.5597
是比較	0.5592
差了	-0.5585
星級的	-0.5582
置很	0.5574
比還	0.5573
很熱情	0.5571
夠用了	0.5565
ed屏	0.5565
led屏	0.5565
配置不	0.5565
d屏	0.5565
很喜	0.5562
境不錯	0.5558
糟糕	-0.5530
就沒	-0.5525
後悔	-0.5524
還行	0.5520
服務也	0.5520
受益	0.5499
相對	0.5492
很喜歡	0.5490
很好的	0.5478
幸福	0.5478
裝了	0.5478
us	0.5461
環境不錯	0.5452
根本沒	-0.5450
黴味	-0.5450
呵呵	0.5446
小姐	-0.5443
精緻	0.5442
重要	0.5435
不足的	0.5428
dd	0.5428
一流	0.5428
覺還	0.5414
都沒	-0.5404
總體感覺	0.5393
差房間	-0.5378
所值	0.5376
本沒	-0.5367
電梯	-0.5359
hi	0.5352
體感覺	0.5330
不要	-0.5328
一切	0.5325
體感	0.5288
獨顯	0.5288
觀不錯	0.5288
光驅	0.5288
強大	0.5288
常喜歡	0.5279
常喜	0.5279
非常喜	0.5279
非常喜歡	0.5279
無線	0.5277
的學	0.5277
經典	0.5256
設施陳舊	-0.5251
施陳舊	-0.5251
施陳	-0.5251
設施陳	-0.5251
總體感	0.5248
更多	0.5238
也挺	0.5237
常不錯	0.5237
非常不錯	0.5237
網本	0.5233
價比還	0.5233
務也	0.5229
心裡	0.5228
當不錯	0.5208
相當不錯	0.5208
人生	0.5208
半天	-0.5191
人們	0.5188
走廊	-0.5187
是壞	-0.5186
對不	-0.5186
房費	-0.5185
了點	0.5183
下次不	-0.5181
合適	0.5169
比很	0.5168
閱讀	0.5161
了房	-0.5151
最好	0.5147
體感覺不錯	0.5145
外觀不	0.5145
熱也	0.5145
看電影	0.5145
的驅	0.5145
能力	0.5139
父母	0.5139
一晚	-0.5125
性價比還	0.5117
錯的酒店	0.5117
錯的酒	0.5117
不錯的酒	0.5117
不錯的酒店	0.5117
前臺	-0.5113
辦法	-0.5102
置不	0.5094
也不好	-0.5087
住過的	-0.5087
能也	0.5082
一口氣	0.5075
說還	0.5059
不好	-0.5051
是比	0.5051
一種	0.5048
收費	-0.5048
th	0.5039
活的	0.5039
隔音	-0.5039
該酒	-0.5022
歡的	0.5016
喜歡的	0.5016
送貨	0.5016
要好	0.5012
外觀不錯	0.5001
速度還	0.5000
讀這本	0.5000
d的	0.5000
預定	-0.4989
該酒店	-0.4982
性價比很	0.4982
價比很	0.4982
較好	0.4979
畢竟	0.4971
要住	-0.4969
不要住	-0.4963
用了	0.4958
總體	0.4957
度快	0.4955
也可	0.4949
書中	0.4934
房間裡	-0.4931
不住	-0.4922
的選	0.4922
這個價	0.4909
洗澡	-0.4896
面對	0.4894
可愛	0.4893
也可以	0.4892
的故	0.4889
好很	0.4887
說沒	-0.4883
讀這本書	0.4882
沒人	-0.4881
次不	-0.4875
自帶	0.4871
下次還	0.4871
ddr	0.4855
的機器	0.4855
一款	0.4855
的驅動	0.4855
池續航	0.4855
池續	0.4855
電池續航	0.4855
配置也	0.4855
電池續	0.4855
的房	-0.4851
以後不	-0.4843
的文字	0.4831
間裡	-0.4829
還是不	0.4828
心的	0.4828
值得	0.4828
學的	0.4828
送的	0.4828
足的	0.4827
均衡	0.4827
速度快	0.4827
只能	-0.4823
陳舊	-0.4806
很髒	-0.4804
in	0.4802
是壞的	-0.4794
通方	0.4793
的歷	0.4793
高的	0.4793
日常	0.4793
服務員	-0.4792
務員	-0.4790
的故事	0.4788
合理	0.4784
垃圾	-0.4770
很實	0.4768
方便	0.4764
觀不	0.4762
第二天	-0.4754
二天	-0.4744
的選擇	0.4740
進去	-0.4737
人性	0.4725
口氣	0.4725
的來	0.4722
氣憤	-0.4720
間很乾淨	0.4708
也很快	0.4708
輕便	0.4708
的本本	0.4708
不錯性	0.4708
間很乾	0.4708
常好的	0.4708
錯性	0.4708
bm	0.4708
性能不	0.4708
美中	0.4708
非常好的	0.4708
ibm	0.4708
本就	-0.4705
的客	-0.4703
也不會	-0.4701
後不	-0.4701
攜程的	-0.4699
都很	0.4698
子的	0.4697
熱量	0.4697
的房間	-0.4695
體來	0.4693
要求	-0.4691
交通方	0.4680
定了	-0.4674
目前	0.4668
os	0.4668
定會	0.4663
的心	0.4656
思考	0.4655
不錯房	0.4655
熱情	0.4648
個價	0.4641
的配	0.4639
溫馨	0.4635
生的	0.4621
書中的	0.4610
雖然	0.4607
手續	-0.4599
p的	0.4592
慢慢	0.4592
時尚	0.4592
不上	-0.4569
預訂	-0.4567
不錯服務	0.4566
益匪	0.4566
不錯服	0.4566
每一個	0.4566
去住	-0.4565
單詞	-0.4564
是一本	0.4562
美中不	0.4558
待機	0.4558
在京東	0.4558
熱好	0.4558
下次還會	0.4558
做工不	0.4558
發熱量	0.4558
較合	0.4558
房間很乾淨	0.4558
美中不足	0.4558
能不錯	0.4558
中不足	0.4558
房間很乾	0.4558
散熱好	0.4558
次還會	0.4558
de	0.4558
滿足	0.4555
的來說	0.4547
錯房間	0.4546
不錯房間	0.4546
的機	0.4544
市中	0.4544
研究	0.4540
解釋	-0.4539
比我	0.4537
的方	0.4526
確實	0.4526
四星級	-0.4496
得推	0.4490
值得推	0.4490
想的	0.4479
使用	0.4477
中的	0.4467
一部	0.4460
通方便	0.4451
益匪淺	0.4451
匪淺	0.4451
受益匪	0.4451
交通方便	0.4451
文字	0.4449
來很	0.4448
尤其	0.4447
比較	0.4440
愛不	0.4436
美麗	0.4436
溫暖	0.4433
總的	0.4429
地理位置	0.4428
理位置	0.4428
地理位	0.4428
理位	0.4428
的作	0.4423
的自	0.4420
交通	0.4416
這套	0.4410
不怎	-0.4408
高清	0.4408
win	0.4408
性能不錯	0.4408
很溫	0.4408
外形	0.4408
便利	0.4407
間房	-0.4403
時間長	0.4398
更加	0.4398
總體來	0.4398
不滿	-0.4392
得推薦	0.4387
值得推薦	0.4387
起來很	0.4387
生活中	0.4359
活中	0.4359
萬不	-0.4356
不適	-0.4348
只好	-0.4346
的好書	0.4341
也還可以	0.4335
也還可	0.4335
的歷史	0.4335
受益匪淺	0.4335
幾頁	-0.4335
效果	0.4330
體來說	0.4328
不舒	-0.4327
挺好的	0.4325
來說	0.4322
動的	0.4312
總的來	0.4312
指紋	0.4300
很輕	0.4300
舒適	0.4298
是我住	-0.4293
入住時	-0.4293
地理	0.4290
生動	0.4287
教育	0.4286
總的來說	0.4286
版本	0.4284
鋼琴	0.4275
還是比較	0.4274
的成	0.4268
配置不錯	0.4255
做工不錯	0.4255
總體感覺不錯	0.4255
散熱也	0.4255
觀也	0.4255
的x	0.4255
望了	-0.4251
都有	0.4251
外面	-0.4245
順利	0.4240
社會	0.4240
錯不	0.4240
千萬不	-0.4238
值得一	0.4227
還不如	-0.4226
不舒服	-0.4225
等了	-0.4225
女兒	0.4223
各種	0.4220
不適合	-0.4220
錯服務	0.4214
錯服	0.4214
這個價位	0.4211
生活的	0.4211
個價位	0.4211
方法	0.4210
滿意	0.4200
的最差	-0.4198
這套書	0.4197
整潔	0.4191
實在不	-0.4184
錯房	0.4180
中不	0.4180
支持	0.4180
置也	0.4180
安靜	0.4174
鬱悶	-0.4168
ib	0.4166
測試	0.4166
很值得	0.4166
作品	0.4155
dr	0.4152
有所值	0.4152
嚴重	-0.4150
于丹	-0.4147
擁有	0.4139
沒見	-0.4138
不錯不	0.4132
了這本	0.4125
壞的	-0.4123
不乾	-0.4114
不乾淨	-0.4114
壞了	-0.4113
人失	-0.4113
是我住過	-0.4113
故事	0.4109
然說	-0.4106
我住過	-0.4106
不錯了	0.4103
風扇	0.4102
裝了x	0.4102
還會選	0.4102
外觀也	0.4102
的鍵	0.4102
的鍵盤	0.4102
裝了xp	0.4102
沒的	0.4102
摸板	0.4102
觸摸板	0.4102
很近	0.4094
住時	-0.4093
好的	0.4088
家長	0.4085
身邊	0.4082
市中心	0.4082
對於	0.4082
難道	-0.4065
我只	-0.4040
下次不會	-0.4040
次不會	-0.4040
炒作	-0.4040
at	0.4038
我喜	0.4038
本好	0.4038
實的	0.4037
本的	0.4037
電腦	0.4032
分區	0.4031
物有所值	0.4027
體感覺還	0.4027
很精	0.4025
通過攜程	-0.4023
時的	0.4021
交涉	-0.4019
信用	-0.4017
的精	0.4013
很舊	-0.4000
有了	0.4000
絕對不	-0.3992
還是比	0.3992
大學	0.3990
加了	0.3990
間長	0.3985
通過攜	-0.3982
浪費	-0.3973
是一種	0.3972
的筆	0.3972
度很	0.3968
書籍	0.3968
隔壁	-0.3967
都能	0.3966
點評2007	-0.3962
評2007年	-0.3962
容易	0.3957
非常方	0.3947
用了一	0.3947
常方便	0.3947
主流	0.3947
常方	0.3947
非常方便	0.3947
比較合	0.3947
過程	0.3947
算是	0.3940
洗手	-0.3939
了半	-0.3939
較差	-0.3937
間太	-0.3937
的不錯	0.3936
我喜歡	0.3936
有時	0.3933
主要	0.3926
不僅	0.3924
還是有	0.3924
就是一	-0.3923
好用	0.3919
噁心	-0.3919
沒有收	-0.3919
這是一本	0.3913
是非	0.3912
後的	0.3912
過攜程	-0.3912
的性	0.3908
贊一	0.3902
的散	0.3896
意外	0.3896
是很不錯的	0.3896
次還	0.3895
間小	-0.3894
不給	-0.3894
沒有任何	-0.3889
沒有任	-0.3889
辦理	-0.3885
覺很	0.3884
感覺很	0.3884
的客人	-0.3882
再也不會	-0.3882
認識	0.3881
女孩	0.3881
置很好	0.3878
過攜	-0.3874
不釋	0.3867
務不錯	0.3867
最喜	0.3867
服務不錯	0.3867
的孩	0.3866
的孩子	0.3866
比較好	0.3862
總體來說	0.3862
有任何	-0.3859
孩子	0.3850
一段	0.3838
夠了	0.3834
人失望	-0.3834
思想	0.3829
住這個	-0.3825
總是	0.3825
清晰	0.3816
的思	0.3814
看到了	0.3814
舒服	0.3813
者的	0.3809
的愛情	0.3808
深的	0.3808
穩定	0.3808
被告	-0.3807
的設施	-0.3806
地鐵	0.3803
內心	0.3803
方面的	0.3800
境不	0.3794
盤很	0.3792
機時間	0.3792
原裝	0.3792
鋼琴烤	0.3792
琴烤漆	0.3792
琴烤	0.3792
還會選擇	0.3792
鋼琴烤漆	0.3792
最差的酒店	-0.3790
最差的酒	-0.3790
信用卡	-0.3783
有任	-0.3782
真實	0.3777
很棒	0.3777
大方	0.3777
回憶	0.3777
每天	0.3776
一口	0.3774
年的	0.3774
簡陋	-0.3766
比想象	0.3765
對孩子	0.3759
命運	0.3759
比較實	0.3759
對孩	0.3759
在京	0.3759
較實	0.3759
機時	0.3759
房間太	-0.3756
看這本	0.3755
不會再住	-0.3751
釋手	0.3748
刻的	0.3748
人類	0.3748
愛不釋	0.3748
的日	0.3748
情感	0.3748
看的	0.3734
一讀	0.3732
發展	0.3732
先生	0.3729
定不	-0.3728
的最差的	-0.3722
己的	0.3714
自己的	0.3714
讀一	0.3714
很安	0.3714
是非常	0.3707
環境不	0.3707
時代	0.3706
多了	0.3706
小說	0.3702
的味道	-0.3702
用卡	-0.3702
貨速	0.3699
比想	0.3699
失望了	-0.3693
香港	0.3692
總檯	-0.3692
感到	0.3690
看著	0.3688
那樣	0.3683
住過的最	-0.3671
不會住	-0.3671
一間	-0.3671
書是	0.3668
根本沒有	-0.3666
重要的	0.3666
要的	0.3661
看完	0.3659
最喜歡	0.3656
很好看	0.3652
工不	0.3651
海景	0.3642
開始	0.3642
千萬不要	-0.3639
萬不要	-0.3639
刷卡	-0.3639
尤其是	0.3639
視角	0.3636
輕薄	0.3636
待機時間	0.3636
待機時	0.3636
自提	0.3636
不愧	0.3636
回味	0.3636
的認	0.3630
驚喜	0.3630
愛不釋手	0.3630
不釋手	0.3630
物有所	0.3630
好看	0.3630
再住	-0.3629
的比	0.3619
了這本書	0.3611
度也	0.3598
房間小	-0.3596
房時	-0.3596
相當不	0.3590
務很好	0.3590
貨速度	0.3590
服務很好	0.3590
被告知	-0.3586
間很小	-0.3586
不符	-0.3586
不滿意	-0.3586
拿到	0.3570
本沒有	-0.3570
過的最	-0.3568
以及	0.3563
以後不會	-0.3562
沒見過	-0.3562
改變	0.3558
購買	0.3556
有趣	0.3555
套書	0.3551
的味	-0.3546
長的	0.3541
不推薦	-0.3539
分析	0.3539
很適	0.3539
更好	0.3536
兒童	0.3526
同學	0.3526
深刻的	0.3525
學校	0.3525
態度極	-0.3523
翻了	-0.3520
道這	-0.3517
給她	0.3517
師的	0.3513
體感覺不	0.3511
是很不錯	0.3511
儘管	0.3510
下次去	0.3508
關注	0.3508
書後	0.3508
